BILLING_PROVIDER_NPI_NUM,outlier_total_paid,outlier_total_claims,outlier_total_bene,outlier_avg_cost_per_claim,outlier_max_single_record,outlier_count,total_paid,total_claims,total_bene,num_codes,active_months,avg_cost_per_claim,max_single_record
1578058137,False,True,True,False,False,2,4431025.750000003,117327.0,97681.0,292,77,28.118001714206137,390190.99
1083631071,True,False,True,False,False,2,6877039.780000001,86827.0,69046.0,80,78,73.31882262609923,52482.9
1912007931,False,True,True,False,False,2,4667093.609999996,130856.0,107964.0,252,84,37.42501218786294,149009.75
1063414233,False,True,True,False,False,2,3578845.65,137362.0,120237.0,314,84,26.402418083392618,186689.92
1265539498,False,True,True,False,False,2,6278587.849999993,111820.0,80184.0,265,84,79.32725428176799,157005.77
1073837514,True,False,False,False,True,2,7343367.61,16330.0,1014.0,6,22,249.3277145119246,952571.61
1982814745,False,True,True,False,False,2,5799403.169999998,103394.0,80732.0,135,84,28.215598498124667,95791.55
1255874087,True,False,False,False,True,2,9497660.850000001,51355.0,3339.0,6,25,215.16759038187593,2639263.92
1265629133,False,True,True,False,False,2,2982213.839999999,132922.0,118355.0,180,84,33.11618528945891,21726.66
1356528269,False,True,True,False,False,2,5981301.299999996,187034.0,161980.0,318,84,37.939904939643675,121763.17
1740252592,False,True,True,False,False,2,5354873.470000001,151606.0,129654.0,254,84,39.66056470707226,81925.02
1043554348,True,False,False,False,True,2,15724699.640000002,82060.0,38529.0,53,83,315.06298740474995,729179.36
1396287082,False,True,True,False,False,2,4926196.81,955259.0,925471.0,315,84,5.827677029438386,235307.65
1770675605,True,False,False,False,True,2,7097660.609999998,38549.0,5090.0,21,32,155.5164804847818,1549462.76
1477516466,False,True,True,False,False,2,5746353.040000003,106105.0,93890.0,236,58,60.74064435961233,41206.14
1013074509,True,False,False,False,True,2,12784275.750000002,36322.0,3472.0,5,34,353.1006998427649,781663.83
1780387654,False,False,False,True,True,2,2097247.6100000003,263.0,140.0,1,2,8260.36090043264,1065294.56
1235261652,False,False,False,True,True,2,3911585.46,202.0,192.0,1,3,19660.717016801933,1646681.6
