CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2022-04-01,11968616.62,0.0,3545078.56,0.0,3841970.5499999993,6813918.39,3342767.9899999993,307242.6,0.0,3095174.4299999997,1430791599.1399949,0.0,0.24777043436170848,0.4762341625499924,0.2336306693448043,0.021473609447013396,0.2685206253873234,0.21632601364590165,0.0,0.8365031376472974,0.0,2.3004586523840413
2022-05-01,0.0,0.0,613624.08,25928106.75,1082300.93,7223222.21,3127513.0900000003,10357993.21,0.0,955483.6200000001,1497902166.0399969,0.0,0.04096556463512151,0.48222256257870494,0.20879288119785588,0.6914999820971901,0.07225444722209584,0.06378811925521222,0.0,0.0,1.7309612962604977,3.290484853246678
2022-06-01,0.0,6166.92,42622382.5,1658783.96,2606981.6700000004,7408933.46,6283001.569999999,2659109.01,0.0,3375410.3500000006,1524837399.1900024,0.0004044313185967162,2.7952083627173048,0.4858835088866292,0.41204403652071664,0.17438639761934782,0.17096784689205785,0.22136198599227874,0.0,0.0,0.10878431765125583,4.369040887598188
2022-07-01,12149415.58,0.0,13013988.65,0.0,506004.80000000005,6254732.68,5231524.739999999,886571.5199999999,0.0,2970625.0300000007,1385998440.1799994,0.0,0.9389612767753097,0.4512799220169179,0.3774553122383444,0.06396627112256065,0.0365083239151615,0.2143310514558881,0.0,0.8765821971936821,0.0,2.9590843547178647
2022-08-01,0.0,5683.24,43723874.8,0.0,889041.54,7247018.000000001,939597.43,2278301.06,46252616.5,4629311.19,1635320586.2599947,0.00034753063391672106,2.6737188516654844,0.44315579837309155,0.057456466817241925,0.13931831343299556,0.05436496962551256,0.2830827929945719,2.828351632616605,0.0,0.0,6.479796356159419
2022-09-01,0.0,756551.12,8075487.27,0.0,3538366.7600000002,9737970.369999997,1501260.8500000003,39153.509999999995,211177.67,1958899.32,1474548135.9900026,0.051307319275274536,0.5476584367032662,0.6604036946858967,0.10181158643505815,0.0026552886978974456,0.239962784098897,0.1328474311681122,0.014321517544642014,0.0,0.0,1.7509680586090444
2022-10-01,0.0,98339631.52,2975676.97,0.0,6878970.6899999995,6917803.329999999,1376581.9,2648640.97,0.0,5120386.29,1684378586.1399996,5.838333040397982,0.17666319166519448,0.4107035904471547,0.08172639520160602,0.1572473665834086,0.40839813249847645,0.3039926019087025,0.0,0.0,0.0,7.3770643187025255
2022-11-01,0.0,93577483.97000001,45374745.42,0.0,728811.68,7340938.34,5266452.709999998,3461554.08,0.0,1780708.29,1621043801.5000076,5.772668442605286,2.7991066853352877,0.4528525591478267,0.3248803459306138,0.2135385901847257,0.044959406977504585,0.10984948638354186,0.0,0.0,0.0,9.717855516564786
2022-12-01,786664.57,3023.0,50253586.160000004,3494452.33,3012789.0599999996,6119794.3,5354600.950000002,2707161.81,0.0,2149595.8600000003,1508821085.690004,0.00020035510032771986,3.330652430338907,0.4056010588691724,0.3548864077248279,0.17942232088849544,0.1996783507716033,0.14246857234348373,0.0,0.052137697269802386,0.23160150419040174,4.896648697497021
2023-01-01,0.0,830340.0800000001,1026484.36,0.0,1025930.62,8014035.45,1423517.9,976222.46,0.0,4773070.419999999,1642126248.2400033,0.05056493560650049,0.0625094666807844,0.48802797340273174,0.08668748225209218,0.059448684962334346,0.062475745765562855,0.29066403543063,0.0,0.0,0.0,1.100378324100636
